Taxable Year,County,Population,All Returns,AGI,Median Income,Median Rank,Joint Returns,Joint Returns Median Income,Joint Returns Median Rank,Tax Assessed,Latitude,Longitude,New Georeferenced Column
2019,El Dorado,"192,012","89,756","8,361,219,000","51,895",8,"41,384","103,696",8,"410,450,000",38.76394197,-120.6060593,POINT (-120.6060593 38.76394197)
2018,Lake,"65,020","23,901","1,200,985,491","32,486",50,"8,894","58,138",51,"35,082,381",39.06500481,-122.6570192,POINT (-122.6570192 39.06500481)
2019,San Joaquin,"776,068","324,751","20,045,629,000","39,499",29,"117,742","78,594",26,"727,991,000",37.933703,-121.3444014,POINT (-121.3444014 37.933703)
2017,Stanislaus,"550,505","217,804","12,150,948,000","35,396",35,"84,747","65,696",36,"419,942,000",37.50148783,-121.2164803,POINT (-121.2164803 37.50148783)
2019,Napa,"138,711","66,934","7,265,285,000","51,525",9,"26,976","99,428",12,"439,787,000",38.45938161,-122.3328556,POINT (-122.3328556 38.45938161)
2018,Siskiyou,"44,128","18,023","866,019,924","32,089",54,"7,509","55,958",54,"27,049,460",41.40245364,-123.1750119,POINT (-123.1750119 41.40245364)
2019,Trinity,"13,291","4,272","215,090,000","31,292",55,"1,715","53,970",57,"7,498,000",40.84092907,-122.972844,POINT (-122.972844 40.84092907)
2017,Riverside,"2,392,511","939,623","53,371,119,000","35,336",37,"357,849","69,725",31,"1,764,796,000",33.7775741,-115.4706931,POINT (-115.4706931 33.7775741)
2019,Yolo,"221,718","92,389","7,182,184,000","44,231",20,"33,887","99,357",13,"318,765,000",38.68382688,-121.9127421,POINT (-121.9127421 38.68382688)
2017,Madera,"156,915","53,198","2,538,783,000","30,576",56,"20,984","54,117",52,"75,599,000",37.09637123,-119.8904305,POINT (-119.8904305 37.09637123)
2018,Marin,"262,326","126,382","25,997,689,202","72,094",1,"50,900","169,809",1,"2,126,697,224",38.03952573,-122.7299513,POINT (-122.7299513 38.03952573)
2018,Placer,"389,278","182,523","17,472,803,059","56,762",6,"84,664","109,200",7,"881,320,286",39.0316205,-120.8830665,POINT (-120.8830665 39.0316205)
2018,Sutter,"101,337","39,782","2,202,274,623","35,528",38,"16,970","60,452",46,"73,960,701",39.01131111,-121.7233341,POINT (-121.7233341 39.01131111)
2017,Amador,"37,405","15,843","960,505,000","41,646",20,"7,484","70,153",30,"33,683,000",38.47216216,-120.5741948,POINT (-120.5741948 38.47216216)
2017,Alpine,"1,146",383,"22,199,000","36,111",32,155,"89,130",15,"810,000",38.58842891,-119.7124417,POINT (-119.7124417 38.58842891)
2019,Solano,"440,198","206,327","15,124,399,000","48,417",11,"74,198","96,627",14,"550,546,000",38.17681839,-122.0352986,POINT (-122.0352986 38.17681839)
2018,Butte,"227,353","85,588","5,182,918,695","35,450",39,"31,945","72,253",32,"203,778,219",39.59127291,-121.6728818,POINT (-121.6728818 39.59127291)
2017,Inyo,"18,566","8,294","503,816,000","38,200",25,"3,304","74,175",24,"19,978,000",36.63350255,-118.2559592,POINT (-118.2559592 36.63350255)
2018,Sacramento,"1,537,386","678,283","44,179,011,186","41,920",22,"238,983","83,061",20,"1,765,009,170",38.1923781,-121.6020643,POINT (-121.6020643 38.1923781)
2017,Contra Costa,"1,138,201","493,781","52,868,586,000","53,912",7,"197,911","112,451",6,"3,100,491,000",37.98817952,-121.9371402,POINT (-121.9371402 37.98817952)
2019,Plumas,"18,246","8,025","446,295,000","38,241",31,"3,428","67,338",40,"14,239,000",40.00510655,-121.0077457,POINT (-121.0077457 40.00510655)
2018,Orange,"3,215,372","1,477,556","139,541,571,432","44,522",17,"558,805","96,007",13,"8,188,061,175",33.66073433,-117.9361373,POINT (-117.9361373 33.66073433)
