,county,n_enrolled,n_testtaker,avg_read,avg_eng,avg_math,avg_sci,composite,population,med_income,latitude,longitude
0,Alameda,49870.0,10864.0,23.654545454545456,23.181818181818183,23.345454545454544,22.927272727272726,23.277272727272727,1661968.0,58155.0,37.72022591,-122.1643521
1,Amador,845.0,111.0,24.0,23.0,23.0,22.25,23.0625,37709.333333333336,43032.333333333336,38.47216216,-120.5741948
2,Butte,7225.0,678.0,22.7,21.5,23.1,22.5,22.450000000000003,220125.33333333334,35009.666666666664,39.59127291,-121.6728818
3,Calaveras,1178.0,93.0,25.333333333333332,22.666666666666668,24.0,23.333333333333332,23.833333333333332,44504.666666666664,42176.0,38.25462698,-120.4657376
4,Colusa,904.0,78.0,19.0,17.333333333333332,19.0,19.333333333333332,18.666666666666664,22322.333333333332,36243.666666666664,39.16798125,-122.2990667
5,Contra Costa,42271.0,9549.0,23.547619047619047,22.714285714285715,22.5,22.38095238095238,22.785714285714285,1145109.3333333333,55670.0,37.98817952,-121.9371402
6,El Dorado,6390.0,1395.0,24.25,23.375,23.625,23.25,23.625,189309.33333333334,50694.333333333336,38.76394197,-120.6060593
7,Fresno,40821.0,5415.0,19.70731707317073,18.463414634146343,19.29268292682927,19.51219512195122,19.243902439024392,1012446.0,32300.0,36.81276025,-119.6826941
8,Glenn,1257.0,216.0,20.6,19.4,18.6,20.0,19.65,29155.666666666668,34467.333333333336,39.59028676,-122.0780968
9,Humboldt,3405.0,321.0,25.0,23.285714285714285,23.571428571428573,23.285714285714285,23.785714285714285,134778.66666666666,33384.333333333336,40.86148517,-123.8585124
10,Imperial,8646.0,1488.0,20.142857142857142,19.285714285714285,19.785714285714285,19.714285714285715,19.732142857142858,188327.0,26583.333333333332,33.07729374,-114.7515356
11,Inyo,871.0,84.0,23.0,22.0,22.0,22.0,22.25,18505.666666666668,39680.666666666664,36.63350255,-118.2559592
12,Kern,40137.0,3771.0,20.65714285714286,19.085714285714285,20.285714285714285,19.97142857142857,20.0,905993.0,32681.333333333332,35.37676773,-118.8073572
13,Kings,5486.0,846.0,19.1,17.9,18.1,18.8,18.475,153018.33333333334,33601.666666666664,36.01947119,-120.0181641
14,Lake,1872.0,195.0,19.5,18.166666666666668,18.166666666666668,18.166666666666668,18.500000000000004,64573.666666666664,32497.0,39.06500481,-122.6570192
15,Lassen,661.0,81.0,22.0,21.0,21.0,21.0,21.25,30001.0,44565.666666666664,40.43255922,-120.6495591
16,Los Angeles,330158.0,62004.0,20.89425981873112,20.214501510574017,20.404833836858007,20.290030211480364,20.450906344410875,10234421.333333334,37166.666666666664,34.0594833,-118.242048
17,Madera,6267.0,1125.0,20.833333333333332,19.916666666666668,20.083333333333332,20.416666666666668,20.3125,158073.33333333334,31953.0,37.09637123,-119.8904305
18,Marin,7632.0,2259.0,26.181818181818183,25.636363636363637,24.545454545454547,24.272727272727273,25.159090909090914,261124.66666666666,71605.66666666667,38.03952573,-122.7299513
19,Mariposa,438.0,48.0,24.0,22.0,23.0,22.0,22.75,17891.333333333332,36337.666666666664,37.72289349,-119.9767358
20,Mendocino,2633.0,204.0,25.0,23.4,22.4,22.6,23.35,88479.0,34360.666666666664,39.31034149,-123.6517776
21,Merced,12518.0,1782.0,19.68421052631579,18.157894736842106,18.36842105263158,19.0,18.80263157894737,280268.3333333333,32119.666666666668,37.1324242,-120.7167521
22,Modoc,249.0,165.0,17.4,15.0,17.0,18.0,16.85,9463.666666666666,31377.333333333332,41.71368177,-120.943072
23,Mono,664.0,60.0,26.0,24.666666666666668,23.333333333333332,24.0,24.5,13706.666666666666,37542.0,38.34709997,-119.3327269
24,Monterey,16520.0,3066.0,20.454545454545453,19.59090909090909,19.818181818181817,20.045454545454547,19.977272727272727,442579.3333333333,39074.666666666664,36.32470669,-121.2968358
25,Napa,4903.0,627.0,23.0,23.0,22.142857142857142,22.428571428571427,22.642857142857142,140163.0,49905.333333333336,38.45938161,-122.3328556
26,Nevada,4390.0,228.0,25.0,23.75,24.25,23.5,24.125,98206.33333333333,41464.0,39.29548859,-120.9008733
27,Orange,120440.0,25503.0,23.988372093023255,23.686046511627907,23.58139534883721,23.325581395348838,23.6453488372093,3204019.6666666665,44381.0,33.66073433,-117.9361373
28,Placer,17506.0,3876.0,24.9,23.9,23.65,23.9,24.0875,389908.0,56532.333333333336,39.0316205,-120.8830665
29,Riverside,97449.0,14275.0,20.80263157894737,19.63157894736842,19.88157894736842,20.039473684210527,20.088815789473685,2420841.3333333335,36095.333333333336,33.7775741,-115.4706931
30,Sacramento,54558.0,9195.0,21.829787234042552,20.76595744680851,21.319148936170212,21.0,21.22872340425532,1540104.3333333333,41833.0,38.1923781,-121.6020643
31,San Benito,2586.0,369.0,21.0,20.0,21.0,21.0,20.75,61505.666666666664,45827.666666666664,36.50024907,-121.0915105
32,San Bernardino,90266.0,16254.0,20.231884057971016,19.159420289855074,19.82608695652174,19.855072463768117,19.768115942028984,2175537.6666666665,34593.666666666664,34.52258599,-115.5372574
33,San Diego,120687.0,24243.0,23.02970297029703,22.138613861386137,22.287128712871286,22.287128712871286,22.43564356435644,3338990.0,43157.0,32.78964014,-117.1936577
34,San Francisco,13104.0,3234.0,20.27777777777778,19.27777777777778,20.27777777777778,19.72222222222222,19.88888888888889,889154.6666666666,67692.66666666667,37.7577,-122.4376
35,San Joaquin,33547.0,4044.0,21.72972972972973,20.72972972972973,21.054054054054053,21.10810810810811,21.155405405405407,762062.6666666666,38428.666666666664,37.933703,-121.3444014
36,San Luis Obispo,8062.0,1710.0,24.307692307692307,23.46153846153846,23.0,23.23076923076923,23.5,278050.6666666667,46016.0,35.27435015,-120.6124974
37,San Mateo,21027.0,4302.0,24.178571428571427,23.642857142857142,23.785714285714285,23.357142857142858,23.74107142857143,773868.0,67115.33333333333,37.43944139,-122.3344603
38,Santa Barbara,15010.0,2472.0,23.41176470588235,22.470588235294116,22.705882352941178,22.58823529411765,22.794117647058822,451473.3333333333,40519.666666666664,34.42119106,-119.6988197
39,Santa Clara,62283.0,12684.0,25.157894736842106,24.92982456140351,24.842105263157894,24.526315789473685,24.864035087719298,1954702.6666666667,67221.0,37.23423826,-121.7317226
