state,participation,ebrw,math,total
Alabama,0.06,590.3333333333334,567.6666666666666,1158.0
Alaska,0.4066666666666667,555.0,539.3333333333334,1094.3333333333333
Arizona,0.3,569.6666666666666,563.3333333333334,1133.0
Arkansas,0.04666666666666667,596.0,576.3333333333334,1172.6666666666667
California,0.5866666666666667,535.0,530.3333333333334,1065.3333333333333
Colorado,0.7033333333333335,547.6666666666666,535.6666666666666,1083.3333333333333
Connecticut,1.0,531.3333333333334,515.6666666666666,1046.6666666666667
Delaware,1.0,502.3333333333333,490.0,993.0
District of Columbia,0.9533333333333333,491.3333333333333,476.0,967.3333333333334
Florida,0.7966666666666667,528.6666666666666,509.6666666666667,1038.3333333333333
Georgia,0.6733333333333333,538.3333333333334,518.6666666666666,1057.3333333333333
Hawaii,0.55,524.6666666666666,540.3333333333334,1065.0
Idaho,0.9766666666666667,508.6666666666667,491.3333333333333,999.6666666666666
Illinois,0.6933333333333334,527.0,522.0,1049.0
Indiana,0.64,542.3333333333334,533.6666666666666,1076.0
Iowa,0.02666666666666667,632.3333333333334,629.3333333333334,1261.3333333333333
Kansas,0.04,627.6666666666666,627.3333333333334,1255.3333333333333
Kentucky,0.04,627.0,615.3333333333334,1242.3333333333333
Louisiana,0.043333333333333335,612.0,590.6666666666666,1202.6666666666667
Maine,0.9766666666666666,512.3333333333334,500.6666666666667,1012.6666666666666
Maryland,0.7566666666666667,538.6666666666666,370.0,1066.0
Massachusetts,0.79,558.6666666666666,558.3333333333334,1117.3333333333333
Michigan,1.0,509.0,496.6666666666667,1006.3333333333334
Minnesota,0.03666666666666667,641.0,651.3333333333334,1292.3333333333333
Mississippi,0.02666666666666667,630.6666666666666,607.0,1238.3333333333333
Missouri,0.03666666666666667,631.6666666666666,625.0,1256.3333333333333
Montana,0.09666666666666668,604.6666666666666,593.0,1197.6666666666667
Nebraska,0.03,628.6666666666666,626.3333333333334,1255.0
Nevada,0.23,572.3333333333334,565.0,1137.3333333333333
New Hampshire,0.9566666666666667,533.3333333333334,524.6666666666666,1058.0
New Jersey,0.7799999999999999,540.3333333333334,539.3333333333334,1080.0
New Mexico,0.15,557.3333333333334,543.6666666666666,1101.3333333333333
New York,0.75,531.0,530.0,1061.3333333333333
North Carolina,0.5066666666666667,551.3333333333334,541.3333333333334,1093.0
North Dakota,0.02,634.0,633.3333333333334,1267.3333333333333
Ohio,0.16333333333333333,560.0,555.0,1115.0
Oklahoma,0.12333333333333334,520.3333333333334,503.3333333333333,1024.0
Oregon,0.47333333333333333,562.0,550.3333333333334,1112.3333333333333
Pennsylvania,0.6833333333333332,544.0,535.6666666666666,1079.6666666666667
Puerto Rico,,483.0,462.0,944.0
Rhode Island,0.8933333333333332,518.3333333333334,507.0,1025.0
South Carolina,0.5766666666666667,538.6666666666666,516.0,1054.6666666666667
South Dakota,0.03,622.3333333333334,618.6666666666666,1241.3333333333333
Tennessee,0.06,621.6666666666666,604.3333333333334,1226.3333333333333
Texas,0.6533333333333333,516.0,508.6666666666667,1024.6666666666667
Utah,0.03666666666666667,572.6666666666666,586.3333333333334,1159.3333333333333
Vermont,0.6333333333333333,562.3333333333334,550.3333333333334,1113.3333333333333
Virgin Islands,,490.0,445.0,935.0
Virginia,0.67,565.0,547.3333333333334,1112.6666666666667
Washington,0.6766666666666666,541.0,535.6666666666666,1076.6666666666667
West Virginia,0.47000000000000003,518.0,491.3333333333333,1009.3333333333334
Wisconsin,0.03,639.3333333333334,650.0,1289.3333333333333
Wyoming,0.03,627.3333333333334,614.6666666666666,1241.6666666666667
